patent_number,text,promising
11195103,diagnosis drug input knowledge method object patient provide rule system treatment use,0
10403399,association computer control detection device event interaction list management method monitor output performance rule series server task time view,0
10684742,apparatus area body care client display form information item list location method number patient point portion support system,0
10911515,base care client communication connection instruction interface method monitoring patient processor program set system,1
10622099,amount decision embodiment hospital information method patient population probability result status system time,0
9703927,health information method query request system,1
9111018,area care change computer display indicator interface measure medium method patient system user,0
10943686,administration display drug function information infusion instruction map memory order portion processor record software system,0
10832819,care condition cost field generate health method patient plurality population processor record response risk score system,0
10445465,communication data image information method network parameter patient portion reference region system transmission unit,0
10475540,computer health indication intervention measure medium method model patient population resource system term,0
11090206,container data health item method presence processor sensor system tag,0
8549030,apparatus document entity example identifier method query search service,0
10108785,care database information interface medication method module monitoring order parameter patient store system transmit treatment user,1
10311977,collection computer device disease element engine evaluation field generate information management network patient plan plurality record request result software state support system,0
10678850,device facility generation imaging modality order report request search site system user,1
10664486,collection device facility form healthcare information medium order part patient perform provider report request rule service system test,1
10706008,capture data method mode plurality processing record system,0
10910092,administration association computer device insulin medium method product protocol storage system tool,0
10275570,alert application care computer device indication management medium method patient response storage system,1
11087879,condition embodiment health measure parameter patient point processor record system value,0
10636523,caregiver condition device display health invention parameter patient position processor range system time value,0
11038969,client connection device display example platform protocol system,0
9195802,access emergency event group information list medication patient profile provide step,1
10733903,accordance account action health information input invention management method plan recommendation system,0
8620682,activity care component computer group input medium method order room system,1
11120898,change combination content database decision document flow module patient system time user view,0
10068302,action care communication computer device embodiment invention medium method party patient provide request storage system video,0
8655680,administration care computer indicator input medication medium message method patient process room system,1
10380321,apparatus base care client communication connection instruction interface method monitoring patient processor program set system,1
10282516,case image method patient reference region user,0
9348969,circuitry criterion health information interaction patient query request response service system transmit unit,0
10671701,analysis apparatus comparison display entry example interaction interface method patient selection system,0
8631352,area care computer display indicator interface measure measurement medium method patient plurality provider system user,0
9208284,account application collection embodiment health information party patient provider record system,1
8181862,care code device embodiment identification information method order subject system use,0
10783997,aspect candidate combination computer dosage drug embodiment event method patient plurality prediction product program set system time,0
10186006,analysis apparatus code content example input interface map message method output provide reference service system,0
11211155,aspect code device element event frequency identification information method server subject system tag,0
8706520,device function generate identifier management plurality record source system tag treatment,1
10540481,computer disclosure embodiment interface medication method source system user,0
9067014,body container device element end fluid sensor test,1
10922775,access action command device display group information input patient response screen system task time user,0
10176541,access end engine function information method plurality portion processor security source system user,0
8423380,condition contact database feedback form health healthcare information method monitoring provider service system,1
10650115,data disclosure generate input module portion process processor relationship service set system,0
10467699,access analysis database display entity health healthcare information interface patient provider question record response system type,0
9070357,action alert analysis condition health method monitor patient segment state system,1
10424403,application base collection context entity information interface knowledge patient point system,0
8869297,environment method order status system time,1
8504392,case event example health identification indicator information language medication method model outcome patient presence processing record system treatment,0
8725539,care condition embodiment information method patient plan response result system,1
10460842,combination component computer condition disease information invention mechanism medication message method person plan probability process risk store system therapy tool,0
10566080,computer criterion health interface level measure medium member method output patient population rule storage system user,0
10029047,aspect comparison database device information machine management medication medium memory method parameter patient processor system,0
10685743,action combination command configuration display identification information part patient pattern plurality procedure response screen selection system task,1
8423387,access application care delivery method network patient pharmacy prescription provider sign system,1
10460409,access action command device display facility information input location patient portion region representation response screen system user,0
10720239,assistance communication computer determine information method patient source system,0
8721543,acquisition analysis application care condition device heart invention monitor monitoring process provide server software system,1
10922774,algorithm care computer condition cost health healthcare information interaction interface management medication medium method patient population provider result storage system user,0
9524569,apparatus computer medium method period program representation segment storage system time,1
9619614,access apparatus application computer information input interface medium member method part patient plurality profile time,0
9058636,application code computer container identification label method number order patient processing record step system,0
9095315,apparatus body computer context healthcare image indication information method order patient portion product profile program provider representation risk selection,0
9734544,computer emergency facility healthcare hospital information medium method patient portion recommendation record storage system tool,0
9996667,access action command device display group information input patient region response system user,1
10867698,care device health intervention method report system,0
10623380,application code criterion facility health healthcare information medium method party record secure security service system user,0
9808403,apparatus base cell delivery device display frequency identification measure medication method pill plurality storage,0
10146909,analysis capture device disease factor image instruction level patient property quality result sample sensor system test user,1
8945043,care device equipment information infusion operation patient point protocol pump record server time,0
11094416,analysis application communication comparison device embodiment example image management method processing result system technique,0
10026508,device diagnosis disease identification information item memory method node notification patient source state system time,1
8744872,agent computer database determine display medium method number outcome relationship risk selection storage system,0
10014077,analysis care communication condition dataset determination device diagnosis embodiment intervention method provider sensor status system use user,0
11185282,administration communication computer condition controller database dosage effect feedback health information interface memory step system target treatment user,0
9158917,access apparatus capture computer database event file health information memory method patient processor product program query response transmit,0
8543422,attribute computer content context knowledge method product profile program recommendation relationship score system value,0
9232894,alert cause determine display indicator instruction level management processor risk sign status system value,1
10872684,access analysis computer health information method plurality processor query result step system,1
10573410,computer determine image imaging patient region report request study system,0
10431339,condition determine identification information medium method patient system,0
9223933,apparatus criterion data display example generate information instruction interaction method patient provide query relationship result store system user,0
9414776,brain camera collection component database device disease effect evaluation example health information instruction measurement method movement outcome patient population quality system treatment user,1
8819849,access account application device display method module person request screen service session support user,1
10529445,care component condition event information input interface patient period plurality point system time user,0
10803538,alert camera device display entry facility identification input management method record station system,0
10777322,analysis aspect assessment computer condition disclosure drug generate health information instruction level memory order patient platform processor system treatment,0
10803976,access embodiment method provider store system tool,0
11024064,cause computer detection determination device display image interface location method monitoring patient position process reference system technique user,1
8727981,administration care computer determination input measure medium method room sensor storage system therapy,1
9152764,information message method portion request selection step system,0
10755804,code diagnosis document example health information language machine medium patient quality service system,0
8630448,food health image information item method monitoring recommendation source system technology user,1
8902068,administration care component computer group input medication medium method order process room system,1
9218569,cloud engine generate information instruction interface language management method network patient plurality query rule search signal store system,0
10943677,application data example image information patient procedure report schedule source system,0
10733730,application care client computer device information method parameter point system treatment,0
10340037,computer data database embodiment identification information method order patient plurality provider record source time type,0
9763629,area capture cause context device display information instruction interface memory parameter plurality processor profile selection series sign task user,0
9865025,analysis application caregiver component context decision diagnosis document file frequency health information module patient platform presence processing provider question record server software support system text view wireless,0
10347378,apparatus care case display examination item operation patient process report screen section status support system,0
9250172,access comparison embodiment method outcome patient prediction procedure system treatment user,1
10885150,document engine entity form healthcare information input knowledge node object patient risk system term treatment,0
10624894,activity combination communication computer condition instruction invention method perform product program step tool treatment use,0
9700247,apparatus camera caregiver code combination delivery device example identity information medication number patient person sensor support therapy treatment,1
9740825,area computer content display information item medium method notification result system,1
10262106,document heart image method object parameter patient portion record text type user value,0
11183277,analysis data entity information interface method record rule secure system user,0
10755197,algorithm application computer data feature medium method model outcome prediction rule storage structure system use,0
9292655,action cause computer context image imaging information interface method modality product program report system,1
9058635,care communication health information patient provider relationship system time,1
10741273,apparatus computer condition device health information input interface medium method patient recommendation record service system treatment use,0
10276261,analysis apparatus collection comparison configuration display event example feedback information interaction interface item list method plurality processor rate source system user,1
8918462,attribute group information level mechanism member method network system user,0
10592637,computer end instruction interface memory method patient presence probability processor response selection step store system user,0
11109934,apparatus care container device housing interface method network patient plurality portion screen space system,0
10061897,alarm compliance device example feature feedback function indicator interaction method monitoring patient position protocol risk state system,0
9898513,analysis aspect computer data detection environment example invention product program rule series set source support system,1
10910108,computer diagnosis disease identification indicator medium member patient rule system,0
10401975,device diagnosis facility form imaging information input interface invention method order report software system technology,0
11152114,action application care device equipment evaluation health provider record representation state system view,0
10997312,access control database example identity request resource rule system user view,0
9820699,alert analysis caregiver device event function information interface notification patient processing signal status system time,1
9387156,analysis attribute camera circuitry compliance computer event feature identifier information medication monitoring system time,0
10796782,access apparatus application combination control criterion disclosure element form health information interface method network party segment sequence system user,0
10811130,administration condition database diagnosis drug effect fluid information interface method network patient pump record schedule server system unit,0
11026625,administration disease intervention marker method order parameter patient system time value,0
10380320,code engine form healthcare indicator information location message network provider response segment service text type,0
10258292,apparatus blood method parameter patient prediction processor treatment value,0
8953858,analysis condition database determine display image information interest method patient provide system,1
9886548,accordance application data database diagnosis display evaluation information interface method module processing profile record response store system term treatment user,0
8655796,combination function information method system unit,1
10742811,communication controller engine healthcare management message module patient provider response system,0
10120976,computer healthcare imaging management medium method processor server source system,0
10290370,access computer embodiment identification information item method system text,0
10950330,care configuration device drug health information mechanism model patient platform provider record secure security server storage system transmission treatment,0
9378485,apparatus client configuration device example healthcare information location method parameter provide system,0
8346804,apparatus code computer example indication input method plurality probability representation system user,0
11056245,algorithm care computer content database device facility healthcare identification information interface location machine memory method output plurality point service system,0
8766789,assistance base blood care device emergency information level pressure request response service system,1
8645165,access attribute care cost criterion decision display evaluation generate interface method patient plurality provider selection support system user value,0
9203814,content device information message method notification portion record service system user,1
9492341,circuitry control display facility hospital input interface patient record structure support system user,1
10347373,alarm alert analysis care context decision event health indication information management notification patient record response support system target user,0
10930372,circuitry database disease drug information module platform plurality result source system,0
9569723,algorithm care field outcome patient plurality prediction probability time,0
10052026,camera display image information period processor system video,1
10453157,access application care component control device identification method monitor patient resource software system,1
10748660,attribute display health item method period relationship response rule set system therapy time,0
9197082,apparatus determination device information management method monitoring power response sensor sign source step system technique user,1
9135804,computer determination facility information input level method patient plurality pressure product program risk system unit value,1
10282835,analysis data diagnosis generate image information interface machine marker method model plurality portion processor source system training,0
10872694,apparatus condition determination display example function health information input invention method operation result software unit,0
10319468,access claim communication computer database delivery display embodiment entry field information instruction medium method part patient population procedure processor record server service software system user view,0
8775877,access application device file function location memory method value,1
10332639,algorithm application camera care communication computer cost data delivery detection device diagnosis disease document health image imaging instruction intervention invention knowledge machine management measurement method monitoring network outcome patient person platform report resource sensor server signal support system technique technology time tool treatment video,0
9390234,attribute circuitry compliance computer event feature identifier information medication monitoring system time,0
10410743,combination communication health image interface list management message module plurality record system user,0
10614388,alert analysis apparatus assessment database end intervention invention measure measurement method number outcome performance prediction record task technology time tool user,0
8660858,apparatus component configuration content healthcare interface management method part perform plurality process provider service system task tool use,0
9955869,combination communication connection decision embodiment health healthcare invention machine management method query resource sensor service support system view,1
10354007,client component computer device end information interface language machine method parameter patient product program system,0
11127496,application area care client combination component computer device feature health list medication outcome patient pharmacy program room tool,0
11096631,combination device display feature module monitor monitoring multi parameter patient plurality processing system unit use,0
9032513,application event generate index information knowledge order party platform processing source system use,0
10482556,algorithm care condition decision health healthcare identifier invention method model party platform population provider record region support system treatment,0
8898798,analysis association data engine event health information patient record search system tool treatment user view,1
10792118,device housing identifier method patient profile site system use,1
8548828,analysis application care case cost device diagnosis disease feature health healthcare image machine management medium method process provider region software system technology time treatment,1
9760681,access application connection data device embodiment health management network record rule security system,0
10504622,apparatus device form identification information instruction method network part processor task,1
10733266,analysis application aspect communication condition device diagnosis element health method patient provider selection service set system treatment use,0
10674910,care circuit computer database device engine monitoring network patient query remote request response rule system,0
9962485,communication computer connection device embodiment indication interface medium patient period storage system time,0
10235643,application computer device display information medium method request server storage structure system,0
10636515,administration apparatus association basis database disease display health information prescription search support system target treatment,0
10354051,assistance communication computer determine information method patient source system,0
9928341,action application care database device embodiment invention level management measurement method parameter patient platform sensor software system wireless,0
8674837,alarm application display example hospital information multi patient program protocol region remote report software system therapy time treatment video,0
10902602,application care client computer condition device event information method patient point system,0
8694334,assessment facility index patient portion profile risk,1
10586020,application component control device equipment file information interaction invention location method patient software use video,1
11195610,alert analysis apparatus condition criterion embodiment engine example feature image information level method notification result,0
10614913,care code entity health method network probability processing record relationship source system value,0
8249897,care change cost device generate health indication interface list medication network patient request response selection source system user,1
10067627,computer generate health interface medium representation state storage system user,0
10037641,body circuitry communication comparison device generate healthcare identification identity portion provider reference sensor signal subject surface system,1
8930223,attribute computer cost criterion database entry hospital member method patient product program recommendation system time,1
10368810,apparatus device healthcare information method monitoring service system,0
10839946,information method part record response source system user,0
11011256,algorithm analysis data determine example interface method order parameter part patient perform platform process selection set source system time,0
11109783,apparatus application collection compliance cost detector device display interest method monitoring number parameter patient period power processor sensor technology use wireless,0
11138201,account language method operation query representation source structure system type,0
10790051,acquisition apparatus condition examination image information location method patient request service support system,0
9864842,computer delivery device embodiment method product service system,1
9015101,apparatus application content database example information knowledge language memory method model parameter processor provide system use,0
10289868,basis dataset examination identification method storage,0
9734285,display entry example image information interface map marker method plurality reference selection system time use user,0
9456799,circuit computer control flow input modality output power response sequence system unit,1
9955310,access activity application computer device facility healthcare location medium session system user,0
9798857,access apparatus computer display element information input interface method operation portion product program record selection study technique user,0
10658080,activity device disclosure method monitoring patient pattern rule source time,0
10402926,computer control device indication location medium system,0
8655843,body device order record representation user,1
9058410,care cloud communication computer database hand health information input interface network patient plurality server system time user view,1
10437844,computer database document group health interest patient record rule system user,0
8887090,access apparatus example information interface level method patient portion provide response surface system user view,1
9934539,display healthcare image invention method multi patient selection source storage study system,0
10665350,entry facility field form interface method notification plurality processing request system user,0
9402956,blood communication device interface measure measurement module operation screen status test user wireless,0
8745298,accordance application communication connection device function management module patient request support system,0
10095761,analysis decision element information input method support system,0
9292656,control display example indicator interest interface method period point provide system time view,0
9526455,computer content embodiment health medium method monitor monitoring output part plan plurality profile sensor system,1
11017903,determine effect evaluation factor function heart interface intervention method risk score support system treatment user,0
9824411,application computer device display form information medium method number party request storage structure system user,1
10839964,cloud communication device entity example facility healthcare information method remote system use,1
10262112,database decision display dosage drug embodiment interface medication method model monitoring patient prescription range record support system treatment user value,1
10867695,access application data database feature health identification information interface management patient prescription provider record rule store system,0
8666774,analysis capture care code communication compliance decision diagnosis hospital information invention management measure notification patient performance process program provider report risk system treatment,0
10506926,detector device multi record sensor sign system,0
10867694,application care device entry health information interface method output patient record sign system time treatment unit view,0
9940578,communication computer device display event input instruction intervention medium method outcome output processor step system,0
9962083,computer condition embodiment health medium method monitoring part plan plurality profile risk sensor system,0
10937164,condition evaluation example feature image imaging machine mechanism method model network perform procedure process processing study system technique use,0
10521552,analysis attribute computer device method person plurality product program record relationship set system,0
10120979,blood care device intervention level management method model patient plurality population prediction source system,0
10803977,access analysis collection database health interface invention management method output patient processor record result storage store system,1
9307909,area comparison embodiment image invention location method reference system,0
11087863,apparatus care client computer device facility health medication method patient record server system,0
10319466,health information item term,0
10559377,action condition database diagnosis distribution health interface method patient probability record result user value,0
10327697,activity amount collection computer condition device disclosure engine feature health identification indicator interface intervention method monitoring patient platform server structure system vector,1
10740439,application computer device information medication medium method number patient prescription record system time user view,0
9043217,method prescription provider service system time use user video,1
11115456,apparatus aspect code computer control example interface level location measure method processing product program sensor system user,0
10667764,alarm alert application care data device disclosure display example location monitor monitoring notification patient point system view,1
11151517,caregiver comparison computer control determine device environment information medication member method operation patient prescription product response result system,0
10593428,apparatus body care computer device diagnosis display generate imaging information input item list medication medium method patient program reference sign support system test use value,0
9183602,camera computer device image medium method output record result system,1
9844344,association computer condition embodiment health medium method monitor monitoring part plan plurality profile risk sensor system,1
10313506,caregiver database device disclosure display entity healthcare number provider transmit type user view,0
10888281,apparatus assessment condition detection disease entry level measure point risk sensor space system tissue treatment,0
8620690,entity index multi outcome plurality point process type value,0
11029913,configuration device display facility generate information location number request response set system time user,0
10720238,device display emergency indicator input interface method patient performance plurality response selection time user,0
8903854,application content element example generation provide system,0
11144714,agent analysis computer document medium memory method operation portion sequence server session storage system time view,0
10262756,care claim determine embodiment event health invention patient process system,0
10742654,health mechanism medication network part patient prescription process product provider system,0
9524373,decision device diagnosis feature invention method support system treatment,0
10055544,analysis care condition database event method patient response series,0
11061537,access apparatus example generate health indicator instruction interface method output patient processor representation system user,0
10748658,blood database device interface management measurement method user,0
10636527,database generation information method operation response result selection session step storage system test transaction treatment,1
10762450,computer diagnosis healthcare identification input interface parameter patient plurality record representation selection system user value,0
11138337,analysis health information method patient region system,0
9949640,body computer health method position sensor system temperature use user,1
10915605,amount care computer criterion disease factor health identification management medium method notification patient risk service system value,0
9298766,determine device injection level method output question response source state system user,1
10108783,communication computer determine device embodiment health medium method monitoring output profile report sensor system,1
9785892,computer display facility healthcare information interface intervention medium notification patient room system user,0
9649431,computer device infusion interface management method order patient product program server system therapy,1
10867420,device example field information management method report section system user,1
10541053,computer diagnosis document indicator information language marker method model procedure processing processor query record support system use view,0
9374394,access client configuration database form method network room session system video,1
8595206,access care embodiment health method module network pharmacy protocol query record response system,0
10206625,body computer embodiment health medium method monitoring position sensor system temperature use user,0
10770184,care computer condition data determination diagnosis embodiment health information management medium part patient presence record service system text use,0
10851416,algorithm disorder end memory method plurality processor profile risk service subject system use user,0
9916435,access configuration device display information invention level location method part portion system time,1
9560996,device monitoring operation party software system,1
9015630,application area device display image input list patient remote storage store system user,0
10614915,condition determination example management method number patient record result risk state system,0
9830577,cause computer embodiment health information instruction medium output profile program sensor step system user,0
10269451,care code device element event identification information order subject system,1
10811126,action care component embodiment health invention order patient plan state system,0
10642957,claim code computer healthcare information intervention message method parameter patient pharmacy process processor provider response service system transaction,0
10453562,analysis health information management part profile request response result system user,0
11043307,algorithm application care communication cost detection device diagnosis disease health imaging instruction invention knowledge machine management measurement method monitoring network performance person resource result support system technique technology tool treatment,0
11024405,application care display health information input instruction interface method monitoring notification order parameter patient record rule,0
8799650,access computer embodiment example hospital image information location medium method network patient record reference resource secure security storage system use user,0
11037664,action analysis comparison condition decision determine disease event indication mechanism patient prescription recommendation series support technology temperature time tool treatment value,0
11163763,application case computer decision diagnosis information input invention module output plurality product program query question source support system treatment value,0
10755817,analysis capture condition event feedback generate generation healthcare interface method motion outcome output patient position provider system user,0
9542481,activity example facility identification identifier location order plurality procedure processing study system technique type use value,1
10749775,computer condition disclosure display exercise health information level medium method portion query question reference response state system user,0
10978196,database device disorder display healthcare interface method module outcome output patient prediction resource server state system treatment user,0
10311036,client communication database device document instrument management map number processing profile server system,1
10405819,acquisition apparatus control end examination method order period ray system time,0
10490306,base entity field information model output relationship subject system,0
10957433,database entity health identification identifier list method prediction record relationship step system,0
11188589,client communication computer data device file image imaging information location medium object patient selection storage system time,0
11160921,association care determine drug feedback information infusion input output patient profile protocol pump source system therapy type unit,0
10665343,action computer decision diagnosis medium method patient procedure record series system treatment,0
10269447,data database example hospital identifier memory method patient plurality record structure system value,0
9076115,component display indication list medication memory order processor selection system,0
10614196,amount assessment drug information process record relationship report system text,1
10404776,device information measurement method module patient,0
11114185,analysis apparatus attribute computer context identity information level method patient person plurality product program record relationship,0
9836581,adherence application change communication device health method model notification patient population treatment use,1
10699805,code computer condition disease document healthcare medium method notification process program provider software system training use user,0
10650927,care claim decision group health index level machine model patient population record risk support system,0
10354752,access application capture care cloud health information invention method patient point population record software system,0
8504588,acquisition apparatus attribute classification condition context embodiment method modality processing rule source study target type,1
10984895,access application data database device health information interface management measurement parameter patient prescription provider record rule store system,0
10741272,algorithm classification combination computer frequency map medium method probability selection source storage system target term,0
10595793,device information level notification patient program provide range status value,0
10014004,camera condition device display housing input interface language part perform pressure processing reference selection sensor system text user wireless,1
9727699,diagnosis disease information input memory method plurality protocol software system tool treatment,0
10762990,action marker method multi outcome relationship rule score system,1
8484254,activity assessment attribute computer database engine memory object plurality processing product protocol relationship set store study system type,0
8352285,classification emergency level order patient plan provide resource,0
11031121,decision device information language method portion process quality report score support system,0
11195213,accordance case engine information method patient system vector,0
10607727,communication determination embodiment generation health identifier information management patient presence profile secure system user,0
10956867,access database device disclosure facility factor information management method patient request session system user,0
9679114,container identification image information label machine medication method network patient plurality prescription system user,1
10460035,candidate context decision determination determine document hand message model reference technology term text user,1
8494880,container device interface list medication patient system,0
10963821,application attribute care communication comparison display document engine event image information interface multi patient platform point recommendation reference search system tool user,0
8583609,apparatus application basis computer control database element example file health label language level management method patient performance platform product quality record secure system term,0
9910962,association candidate determination engine example method patient recommendation risk,1
9375142,change determination determine heart information intervention medication monitoring parameter patient period point pressure processor range rate record response sensor system time type value,1
10238293,display image,0
11087866,amount indication item management medication memory notification order processor range request response server system user,0
8700589,base combination information knowledge message number output relationship response source system term type,1
11004035,device disclosure interface monitoring operation performance platform representation system time,0
11081234,decision embodiment intervention measure measurement method performance range representation selection subject support system training treatment value,0
9268907,classification code disease order plurality report software source support system,0
11211168,application client condition content device health healthcare interaction medium method plurality recommendation system treatment user,0
10629303,activity care condition determination determine information item machine medication method number order patient procedure record resource service state system,0
9852261,association display dosage drug indicator member method pill prescription system,1
10552931,computer document example generate indicator information language marker method model part processing processor query record request rule system,1
11145395,access apparatus body condition diagnosis example function health location patient record relationship status type,0
9684764,access analysis apparatus application communication control data database level method perform plurality product program result system transmission,0
9549682,change computer detection embodiment field method part response sensor sign signal system target,1
10456523,apparatus area care determination device drug fluid hospital infusion management mode parameter system technique,0
8826128,action computer indicator interface medium method object screen storage system,0
11039764,caregiver case device disclosure embodiment emergency function identification identity information method monitor patient record sign system treatment use,0
10380326,aspect delivery determination determine information machine management medication medium method notification status system,0
10282512,agent change cost decision effect function health information invention method module node object outcome output patient plurality process software status step support system time treatment unit,0
8998100,component container device dosage drug frequency identification information infusion medication method monitor program set system tag,1
10984076,disease indication patient state,0
10546653,code determine device disclosure example generate information item method output patient plurality system technique,0
11185269,analysis caregiver case condition context diagnosis disorder evaluation health heart intervention management measure monitoring notification parameter patient property range rate reference treatment value,0
10546654,accordance component example information method model patient plurality record system transaction value,0
9582838,application computer criterion database function healthcare indicator method number patient process provider reference screen series status system,0
10037820,body computer generate health image map method model record software state system time user,0
10475140,adherence base control cost drug examination feedback health information invention knowledge management outcome patient pharmacy plan prescription process request result status system time,0
10758188,detection method system test user,0
9092727,feature map method rule structure system type,1
11062266,communication condition element event health information interaction interface management medication method patient report risk status system tool user,0
11031138,database document generate generation group information method model object processing request resource system value,0
9483618,application attribute computer condition content device health information processing product program system,1
9913583,camera capture generate health image marker monitoring party plurality processor profile state subject system,0
10642445,access analysis apparatus communication computer embodiment group health information method plurality request response store system user,0
