id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9058545-B2,Automatic registration of image pairs of medical image data sets ,Siemens Aktiengesellschaft,"Valer Canda, Christian Lange",2012-01-27,2013-01-28,2015-06-16,2015-06-16,https://patents.google.com/patent/US9058545B2/en,https://patentimages.storage.googleapis.com/64/81/ed/38095a7ae2f323/US09058545-20150616-D00000.png
US-10691775-B2,"Bioinformatics systems, apparatuses, and methods executed on an integrated circuit processing platform ","Edico Genome, Corp.","Pieter Van Rooyen, Michael Ruehle, Rami Mehio, Mark Hahm",2013-01-17,2016-07-01,2020-06-23,2020-06-23,https://patents.google.com/patent/US10691775B2/en,https://patentimages.storage.googleapis.com/b4/5a/61/70749b26276bc5/US10691775-20200623-D00001.png
US-11123246-B2,Techniques for managing patient therapy protocols ,Stryker Corporation,"Anuj Sidhu, Alexander Bodurka, Krishna Sandeep Bhimavarapu",2017-12-22,2018-12-06,2021-09-21,2021-09-21,https://patents.google.com/patent/US11123246B2/en,https://patentimages.storage.googleapis.com/ce/ca/12/b7ac05c1b4eca5/US11123246-20210921-D00000.png
US-10706959-B1,Systems and methods for medical referrals via secure email and parsing of CCDs ,The Advisory Board Company,"Russell Tevis, Marilyn Mamakai Agbeko, Louis Allen Parisi",2015-12-22,2016-12-21,2020-07-07,2020-07-07,https://patents.google.com/patent/US10706959B1/en,https://patentimages.storage.googleapis.com/0a/f8/99/4a3f9ead702405/US10706959-20200707-D00000.png
US-10490302-B2,Systems and methods for improving patient access to medical therapies ,"Medtronic, Inc","Joseph Fleming, Michael Brandt, David Mackmiller, Philia Hiotis, Meredith Seaborn, Charles Williams, III, Archana Balasubramanyam",2014-01-30,2015-01-30,2019-11-26,2019-11-26,https://patents.google.com/patent/US10490302B2/en,https://patentimages.storage.googleapis.com/9f/50/8c/02babce2113bb7/US10490302-20191126-D00000.png
US-10716493-B2,"Systems, methods, and apparatuses for peripheral arterial disease detection and mitigation thereof ",New Lifeware Inc.,"Syed R. Naqvi, Abbas S. Ali",2017-02-27,2017-02-27,2020-07-21,2020-07-21,https://patents.google.com/patent/US10716493B2/en,https://patentimages.storage.googleapis.com/e7/a8/c6/90b5f6bde51413/US10716493-20200721-D00000.png
US-11116401-B2,Systems and methods for wireless physiology monitoring ,3M Innovative Properties Company,"William Bedingham, Jeffrey G. Zinn",2016-11-11,2017-11-06,2021-09-14,2021-09-14,https://patents.google.com/patent/US11116401B2/en,https://patentimages.storage.googleapis.com/6e/06/f9/7e13d37bc45aaf/US11116401-20210914-D00000.png
US-11076932-B2,Wireless sensor and monitored patient association system and method ,General Electric Company,"Magnus Kall, Tuomas LAINE, Mika Tapaninaho, Sakari Lamminmaki",2016-11-30,2016-11-30,2021-08-03,2021-08-03,https://patents.google.com/patent/US11076932B2/en,https://patentimages.storage.googleapis.com/35/25/75/f853e1017ec7e9/US11076932-20210803-D00000.png
US-10223501-B1,"Systems and methods for tracking, monitoring, and standardizing molecular and diagnostic testing products and services ","Concert Genetics, Inc.","Judsen D. Schneider, Mark P. Harris, Taylor A. Murphy, Joe Marshall Cottrell, III, Jon Staples, Blake S. Blackshear, Ashly M. Badgett, Joy M. Pratt, Gillian W. Hooker, Christopher Hooper, Laura K. Poff, Robert L. Metcalf",2017-03-24,2017-11-03,2019-03-05,2019-03-05,https://patents.google.com/patent/US10223501B1/en,https://patentimages.storage.googleapis.com/3f/3f/cb/e418b93269e996/US10223501-20190305-D00000.png
US-10964419-B2,Intelligent container and method for medicine dispensing control ,International Business Machines Corporation,"Rhonda L Childress, David Bruce Kumhyr, Michael John Spisak",2015-10-19,2015-10-19,2021-03-30,2021-03-30,https://patents.google.com/patent/US10964419B2/en,https://patentimages.storage.googleapis.com/7c/c1/01/c523e9c9a87d04/US10964419-20210330-D00000.png
US-11133096-B2,Method for non-invasive motion tracking to augment patient administered physical rehabilitation ,"Smith & Nephew, Inc.","Ravi Komatireddy, Spencer Hutchins, Mitul Shah",2011-08-08,2012-06-15,2021-09-28,2021-09-28,https://patents.google.com/patent/US11133096B2/en,https://patentimages.storage.googleapis.com/fa/a2/bc/a839d6bc77d6a1/US11133096-20210928-D00000.png
US-10617396-B2,Detection of valve disease from analysis of doppler waveforms exploiting the echocardiography annotations ,International Business Machines Corporation,"Mohammadreza Negahdar, Tanveer Syeda-Mahmood",2016-10-17,2016-10-17,2020-04-14,2020-04-14,https://patents.google.com/patent/US10617396B2/en,https://patentimages.storage.googleapis.com/b5/c4/0e/5fe3e3b0c3a3d6/US10617396-20200414-D00000.png
US-10470740-B2,Moving a robot arm ,Siemens Healthcare Gmbh,"Joerg Freudenberger, Sultan Haider, Peter Molnar",2017-05-31,2018-05-23,2019-11-12,2019-11-12,https://patents.google.com/patent/US10470740B2/en,https://patentimages.storage.googleapis.com/a7/b6/f2/f58855b036e4e7/US10470740-20191112-D00000.png
US-10304000-B2,Systems and methods for model-assisted cohort selection ,"Flatiron Health, Inc.","Benjamin Edward Birnbaum, Joshua Daniel Haimson, Lucy Dao-Ke He, Katharina Nicola Seidl-Rathkopf, Monica Nayan Agrawal, Nathan Nussbaum",2017-04-13,2018-04-12,2019-05-28,2019-05-28,https://patents.google.com/patent/US10304000B2/en,https://patentimages.storage.googleapis.com/ae/ec/f9/fed217d3de45c8/US10304000-20190528-D00000.png
US-8725462-B2,Data aggregation platform ,Fujitsu Limited,"Jawahar Jain, David Loren Marvit, B. Thomas Adler, Rajalakshmi Balakrishnan, Alexander Gilman, Stergios Stergiou, Albert C. Braun, Albert H. M. Reinhardt",2011-05-13,2011-05-13,2014-05-13,2014-05-13,https://patents.google.com/patent/US8725462B2/en,https://patentimages.storage.googleapis.com/f7/5d/01/63147901ab0122/US08725462-20140513-D00000.png
US-9189599-B2,Calculating and monitoring a composite stress index ,Fujitsu Limited,"B. Thomas Adler, Jawahar Jain, David Loren Marvit, Rajalakshmi Balakrishnan, Alexander Gilman, Stergios Stergiou, Albert C. Braun, Albert H. M. Reinhardt",2011-05-13,2011-05-13,2015-11-17,2015-11-17,https://patents.google.com/patent/US9189599B2/en,https://patentimages.storage.googleapis.com/58/60/86/0480036b8bc260/US09189599-20151117-D00000.png
US-11139051-B2,Systems and methods for designing clinical trials ,"Origent Data Sciences, Inc.","David L. ENNIST, Albert A. TAYLOR, Danielle E. BEAULIEU, Michael A. KEYMER",2018-10-02,2018-10-02,2021-10-05,2021-10-05,https://patents.google.com/patent/US11139051B2/en,https://patentimages.storage.googleapis.com/7c/19/aa/9b1f6655b65e49/US11139051-20211005-D00000.png
US-8842001-B2,System and method for transfer of primary alarm notification on patient monitoring systems ,"Spacelabs Healthcare, Llc","Jeffrey Jay Gilham, Patrick Scott Jensen",2010-11-19,2011-11-18,2014-09-23,2014-09-23,https://patents.google.com/patent/US8842001B2/en,https://patentimages.storage.googleapis.com/38/3f/cd/f333a3b43d04ef/US08842001-20140923-D00000.png
US-10282588-B2,Image-based tumor phenotyping with machine learning from synthetic data ,Siemens Healthcare Gmbh,"Dorin Comaniciu, Ali Kamen, David Liu, Boris Mailhe, Tommaso Mansi",2016-06-09,2017-05-02,2019-05-07,2019-05-07,https://patents.google.com/patent/US10282588B2/en,https://patentimages.storage.googleapis.com/d2/b5/39/9f8ed72c1e7477/US10282588-20190507-D00000.png
US-8818822-B2,Health care assessment and online provider communication ,"Cerner Innovation, Inc.","Robert Scott Ackerson, Brian Robert Carter, Clay Patterson",2011-07-26,2011-07-26,2014-08-26,2014-08-26,https://patents.google.com/patent/US8818822B2/en,https://patentimages.storage.googleapis.com/ba/b5/5a/85a96f0b3da8fb/US08818822-20140826-D00000.png
US-11195601-B2,Constructing prediction targets from a clinically-defined hierarchy ,International Business Machines Corporation,"Kathryn L. Howard, Hyuna Yang, Gigi Yuen-Reed",2017-05-31,2017-05-31,2021-12-07,2021-12-07,https://patents.google.com/patent/US11195601B2/en,https://patentimages.storage.googleapis.com/a3/4f/95/bd853a190ce416/US11195601-20211207-D00000.png
US-10503869-B2,"Cloud-to-local, local-to-cloud switching and synchronization of medical images and data ","Konica Minolta Healthcare Americas, Inc.",Takao Shiibashi,2017-09-08,2017-09-08,2019-12-10,2019-12-10,https://patents.google.com/patent/US10503869B2/en,https://patentimages.storage.googleapis.com/3f/a2/42/beff1244a1d67f/US10503869-20191210-D00000.png
US-10416865-B2,Medical device with enhanced user interface controls ,"Welch Allyn, Inc.","Catherine M. King, Thomas A. Myers",2016-05-19,2016-06-27,2019-09-17,2019-09-17,https://patents.google.com/patent/US10416865B2/en,https://patentimages.storage.googleapis.com/c8/af/e0/26fa1686abdf4d/US10416865-20190917-D00000.png
US-10229754-B2,Wearable device obtaining audio data for diagnosis ,Koninklijke Philips N.V.,"John E. Cronin, Steven M. Philbin",2015-03-09,2016-03-08,2019-03-12,2019-03-12,https://patents.google.com/patent/US10229754B2/en,https://patentimages.storage.googleapis.com/55/83/e3/70c9c17f17d66f/US10229754-20190312-D00000.png
US-11071465-B2,Systems and methods for detecting corrupt or inaccurate sensory representations ,"Paradromics, Inc.","Matthew Angle, Edmund Huber, Richard C. Gerkin, Konrad Kording",2016-09-20,2019-03-12,2021-07-27,2021-07-27,https://patents.google.com/patent/US11071465B2/en,https://patentimages.storage.googleapis.com/f1/9a/d3/6c2f2b5e5afd8a/US11071465-20210727-D00000.png
US-11056119-B2,Methods and systems for speech signal processing ,"Frontive, Inc.","Charles Anthony Jones, Kim Matthew Branson",2018-03-08,2021-01-25,2021-07-06,2021-07-06,https://patents.google.com/patent/US11056119B2/en,https://patentimages.storage.googleapis.com/89/8f/24/277bcb6bed82ab/US11056119-20210706-D00000.png
US-9913599-B2,Software applications residing on handheld analyte determining devices ,Abbott Diabetes Care Inc.,"Daniel M. Bernstein, Brittany K. Bradrick, Erwin S. Budiman, Eric Davis, Timothy C. Dunn, Mani Gopal, Wesley S. Harper, Gary A. Hayter, Steve Scott, Todd Winkler, Howard Wolpert",2011-02-11,2011-12-21,2018-03-13,2018-03-13,https://patents.google.com/patent/US9913599B2/en,https://patentimages.storage.googleapis.com/68/90/02/76c47e4e17af91/US09913599-20180313-D00000.png
US-10380251-B2,Mining new negation triggers dynamically based on structured and unstructured knowledge ,International Business Machines Corporation,"Corville O. Allen, Roberto DeLima, Aysu Ezen Can, Robert C. Sizemore",2016-09-09,2016-09-09,2019-08-13,2019-08-13,https://patents.google.com/patent/US10380251B2/en,https://patentimages.storage.googleapis.com/c0/5b/ff/8e736c77764291/US10380251-20190813-D00000.png
US-10892043-B2,Image sharing system ,"Aware, Inc.","James Giulio Cialdea, Alexis Tzannes, Adrian Gropper",2012-11-19,2020-05-01,2021-01-12,2021-01-12,https://patents.google.com/patent/US10892043B2/en,https://patentimages.storage.googleapis.com/a8/ba/55/23c98bf5e3a4d1/US10892043-20210112-D00000.png
US-10360912-B1,Presentation of indications with respect to questions of a communication session ,"Sorenson Ip Holdings, Llc","Michael Jones, Jeff Smith, Adam Montero",2018-04-30,2018-04-30,2019-07-23,2019-07-23,https://patents.google.com/patent/US10360912B1/en,https://patentimages.storage.googleapis.com/95/ea/27/3bb91e06998bcb/US10360912-20190723-D00000.png
US-10210310-B2,Picture archiving system with text-image linking based on text recognition ,Koninklijke Philips N.V.,"Heike Ruppertshofen Carolus, Thusitha Dananjaya De Silva MABOTUWANA, Yuechen Qian, Juergen Weese",2014-11-03,2015-11-02,2019-02-19,2019-02-19,https://patents.google.com/patent/US10210310B2/en,https://patentimages.storage.googleapis.com/ff/43/92/dfc6b2e5d1bd11/US10210310-20190219-D00000.png
US-10579954-B2,Node-enabled preparation related to medical treatment for a patient using a hierarchical node network ,"Fedex Corporate Services, Inc.",Ole-Petter Skaaksrud,2013-11-29,2014-11-12,2020-03-03,2020-03-03,https://patents.google.com/patent/US10579954B2/en,https://patentimages.storage.googleapis.com/64/70/66/83098d91b818d0/US10579954-20200303-D00000.png
US-10398379-B2,System for improved interpretation of physiological data and presentation of physiological condition management information ,"Becton, Dickinson And Company","James Petisce, Ellen DiResta, Deborah Burns, David Mason, Sami KANDERIAN",2011-12-15,2012-12-14,2019-09-03,2019-09-03,https://patents.google.com/patent/US10398379B2/en,https://patentimages.storage.googleapis.com/e3/db/0f/6def44acd2530f/US10398379-20190903-D00000.png
US-10286179-B2,Virtual reality medical application system ,"Virtual Reality Medical Applications, Inc","Huan Giap, Garland Wong",2014-03-06,2017-07-11,2019-05-14,2019-05-14,https://patents.google.com/patent/US10286179B2/en,https://patentimages.storage.googleapis.com/a8/99/62/350c2317671c0f/US10286179-20190514-D00000.png
US-9516141-B2,Method and system for processing machine-to-machine sensor data ,Verizon Patent And Licensing Inc.,"Jean F. DUBOIS, Patrick J. Moran",2013-08-29,2013-08-29,2016-12-06,2016-12-06,https://patents.google.com/patent/US9516141B2/en,https://patentimages.storage.googleapis.com/5f/97/1a/5200b4ae3c676a/US09516141-20161206-D00000.png
US-9981116-B1,Computerized oral prescription administration devices and associated systems and methods ,"Berkshire Biomedical, LLC","Thomas M. Rouse, Susan B. Owen, Christy Corey",2017-01-13,2017-09-18,2018-05-29,2018-05-29,https://patents.google.com/patent/US9981116B1/en,https://patentimages.storage.googleapis.com/30/a5/7e/39e5daa4c06f76/US09981116-20180529-D00000.png
US-9723433-B2,Systems and methods for wireless communication with implantable and body worn devices ,Sorin Crm Sas,"Javaid Masoud, David Amaoua",2015-05-07,2016-05-06,2017-08-01,2017-08-01,https://patents.google.com/patent/US9723433B2/en,https://patentimages.storage.googleapis.com/dd/96/d8/5a28ba532c5e48/US09723433-20170801-D00000.png
US-11285129-B2,Treatment of circadian rhythm disorders ,Vanda Pharmaceuticals Inc.,"Marlene Michelle Dressman, John Joseph Feeney, Louis William Licamele, Mihael H. Polymeropoulos",2012-01-26,2021-07-06,2022-03-29,2022-03-29,https://patents.google.com/patent/US11285129B2/en,https://patentimages.storage.googleapis.com/a9/e3/2a/5f39f1f2ba2420/US11285129-20220329-D00001.png
US-11147921-B2,Adjusting insulin delivery rates ,"Bigfoot Biomedical, Inc.","Lane Desborough, Bryan Mazlish",2016-01-14,2019-04-24,2021-10-19,2021-10-19,https://patents.google.com/patent/US11147921B2/en,https://patentimages.storage.googleapis.com/c2/6d/9e/3fcd5563422c7c/US11147921-20211019-D00000.png
US-9466877-B2,Hospital bed having near field communication capability ,"Hill-Rom Services, Inc.","Steven A. Dixon, Keith A. Huster, Irvin J. Vanderpohl, III, Thomas F. Heil, Richard J. Schuman, Christopher K. Lack",2011-11-29,2012-11-28,2016-10-11,2016-10-11,https://patents.google.com/patent/US9466877B2/en,https://patentimages.storage.googleapis.com/9d/f6/9c/d76d23c10bdcf4/US09466877-20161011-D00000.png
US-10387793-B2,Automatic generation of training cases and answer key from historical corpus ,International Business Machines Corporation,"Corville O. Allen, Christine A. Grev, Richard J. Stevens, Kathryn L. Whaley",2014-11-25,2014-11-25,2019-08-20,2019-08-20,https://patents.google.com/patent/US10387793B2/en,https://patentimages.storage.googleapis.com/5a/f7/9c/c1a42bb4d5ec80/US10387793-20190820-D00000.png
US-10517542-B2,Using biomarker information for heart failure risk computation ,"Medtronic, Inc.","Vinod Sharma, Eduardo N Warman, Yong K Cho, Shantanu Sarkar",2014-07-14,2015-12-09,2019-12-31,2019-12-31,https://patents.google.com/patent/US10517542B2/en,https://patentimages.storage.googleapis.com/45/7b/63/20ae0f9265b272/US10517542-20191231-D00000.png
US-9427365-B2,Therapy enabler system ,"Hill-Rom Services, Inc.","Sandy M. Richards, Stephen L. Douglas, Ruchik A. Amin, Timothy J. Receveur, Irvin J. Vanderpohl, III",2011-10-26,2014-04-16,2016-08-30,2016-08-30,https://patents.google.com/patent/US9427365B2/en,https://patentimages.storage.googleapis.com/d2/9c/25/d945afe5602ee1/US09427365-20160830-D00000.png
US-9485462-B2,Method of collecting and employing information about parties to a televideo conference ,Lisa Marie Bennett Wrench,Lisa Marie Bennett Wrench,2010-07-08,2014-08-25,2016-11-01,2016-11-01,https://patents.google.com/patent/US9485462B2/en,https://patentimages.storage.googleapis.com/a8/2b/4b/8a8d2cfab52b73/US09485462-20161101-D00000.png
US-9064040-B2,Adaptive analytical behavioral and health assistant system and related method of use ,"WellDoc, Inc.",Bharath SUDHARSAN,2011-03-24,2014-08-18,2015-06-23,2015-06-23,https://patents.google.com/patent/US9064040B2/en,https://patentimages.storage.googleapis.com/ff/d2/70/accc78cdfcee9e/US09064040-20150623-D00000.png
US-10943678-B2,Sequential compression therapy compliance monitoring systems and methods ,"Hill-Rom Services, Inc.","David W. Hornbach, David L. Ribble, Christopher R. O'Keefe, Timothy J. Receveur, Thomas K. Skripps",2012-03-02,2017-07-26,2021-03-09,2021-03-09,https://patents.google.com/patent/US10943678B2/en,https://patentimages.storage.googleapis.com/40/42/53/65ad59bbaf1f77/US10943678-20210309-D00000.png
US-10758692-B2,Breathing assistance apparatus with serviceability features ,Fisher & Paykel Healthcare Limited,"Samuel Robertson Frame, Christopher Malcolm Crone, Christopher Simon James Quill, Kevin Peter O'Donnell, Jack Che-Wei Hsu, Jae Chul Han",2012-04-05,2017-08-03,2020-09-01,2020-09-01,https://patents.google.com/patent/US10758692B2/en,https://patentimages.storage.googleapis.com/b4/cb/6f/27441450d7ba8c/US10758692-20200901-D00000.png
US-10679488-B2,System and method for improving compliance with one or more protocols including hand hygiene and personal protective equipment protocols ,"Microsensor Labs, LLC","Peng Liu, Yang Liu, Jiapeng Huang",2017-04-05,2018-10-01,2020-06-09,2020-06-09,https://patents.google.com/patent/US10679488B2/en,https://patentimages.storage.googleapis.com/26/8b/5a/4703c54ae8d72c/US10679488-20200609-D00000.png
US-10980453-B2,Systems and methods for display device and sensor electronics unit communication ,"Dexcom, Inc.","Jeffrey R. Wedekind, Douglas William Burnette, Aditya Mandapaka, Zebediah L. McDaniel, Peter C. Simpson, Arturo Garcia",2016-03-31,2020-12-04,2021-04-20,2021-04-20,https://patents.google.com/patent/US10980453B2/en,https://patentimages.storage.googleapis.com/7a/1c/6e/f23384c231e823/US10980453-20210420-D00000.png
US-10254825-B2,Body position optimization and bio-signal feedback for smart wearable devices ,Sony Corporation,"Nobuo Tanaka, Vladimir Elgort, Jacelyn Danielson, Anton Kalachev, John Wong, Behram daCosta, Udupi Ramanath Bhat, Ludovic Copere, Masaki Kataoka",2014-02-24,2016-08-14,2019-04-09,2019-04-09,https://patents.google.com/patent/US10254825B2/en,https://patentimages.storage.googleapis.com/24/94/04/7417619995234b/US10254825-20190409-D00000.png
US-11160455-B2,Multi-wavelength wearable device for non-invasive blood measurements in tissue ,"Omni Medsci, Inc.",Mohammed N. Islam,2012-12-31,2020-10-23,2021-11-02,2021-11-02,https://patents.google.com/patent/US11160455B2/en,https://patentimages.storage.googleapis.com/c7/f5/1f/5b473016d39a8f/US11160455-20211102-D00000.png
US-10870005-B2,Neurostimulation titration utilizing T-wave alternans ,"Livanova Usa, Inc.","Imad Libbus, Bruce H. Kenknight",2014-11-12,2018-10-12,2020-12-22,2020-12-22,https://patents.google.com/patent/US10870005B2/en,https://patentimages.storage.googleapis.com/79/da/4e/2b8265dedb4a8d/US10870005-20201222-D00000.png
US-9776755-B2,Drug supply device and drug inspection method in drug supply device ,"Panasonic Healthcare Holdings Co., Ltd.","Akira Kondo, Hideyuki Takahashi, Takashi Mori",2012-01-11,2014-07-11,2017-10-03,2017-10-03,https://patents.google.com/patent/US9776755B2/en,https://patentimages.storage.googleapis.com/a1/42/cf/787fcc931bdb09/US09776755-20171003-D00000.png
US-10108954-B2,System and method for cryptographically verified data driven contracts ,"PokitDok, Inc.","Tim Dunlevy, Theodore C. Tanner, Jr.",2016-06-24,2016-08-15,2018-10-23,2018-10-23,https://patents.google.com/patent/US10108954B2/en,https://patentimages.storage.googleapis.com/fb/ca/ec/76df6dd9f208eb/US10108954-20181023-D00000.png
US-8818810-B2,Speaker verification in a health monitoring system ,Robert Bosch Gmbh,"Fuliang Weng, Taufiq Hasan, Zhe Feng",2011-12-29,2011-12-29,2014-08-26,2014-08-26,https://patents.google.com/patent/US8818810B2/en,https://patentimages.storage.googleapis.com/0f/9a/55/ee69d442e86775/US08818810-20140826-D00000.png
US-10159843-B2,Automatic current balancing with lock control for a clinician programmer ,Nuvectra Corporation,"Norbert Kaula, Yohannes Iyassu",2013-05-16,2016-09-02,2018-12-25,2018-12-25,https://patents.google.com/patent/US10159843B2/en,https://patentimages.storage.googleapis.com/63/45/7e/12c7f3039da3cc/US10159843-20181225-D00000.png
US-9208468-B2,Inventory management system ,Intermetro Industries Corporation,"Jeffrey C. Olson, James Leo Kilgallon, Al Bowers, Bruce Quayle, Mark Douglas Donaldson, Chris Stygar",2011-02-07,2012-02-07,2015-12-08,2015-12-08,https://patents.google.com/patent/US9208468B2/en,https://patentimages.storage.googleapis.com/fd/f7/8f/b6fe2050f439d2/US09208468-20151208-D00000.png
US-10915306-B2,Publishing customized application modules ,Vignet Incorporated,"Praduman Jain, Dave Klein, Neeta Jain, Yue Cao",2016-02-10,2020-04-13,2021-02-09,2021-02-09,https://patents.google.com/patent/US10915306B2/en,https://patentimages.storage.googleapis.com/2c/81/db/06ff6c372aa0b5/US10915306-20210209-D00000.png
US-9632102-B2,Systems and methods for multi-purpose analysis ,"Theranos, Inc.","Elizabeth Holmes, Sunny Balwani",2011-09-25,2011-09-26,2017-04-25,2017-04-25,https://patents.google.com/patent/US9632102B2/en,https://patentimages.storage.googleapis.com/e7/d4/78/9c7e57907bf025/US09632102-20170425-D00000.png
US-9830424-B2,Bed/room/patient association systems and methods ,"Hill-Rom Services, Inc.","Steven Alan Dixon, Keith A. Huster, Michael S. Hood, James Maurice Allen, John D. Christie, Jack Barney Sing, Dan R. Tallent, Clay Gerome Owsley, Umesh Jairamdas Rajani, Thomas F. Heil, Richard Joseph Schuman, SR., Timothy D. Wildman",2013-09-18,2014-09-16,2017-11-28,2017-11-28,https://patents.google.com/patent/US9830424B2/en,https://patentimages.storage.googleapis.com/7b/7f/ac/b06659b03ae898/US09830424-20171128-D00000.png
US-8738177-B2,"Vending machine for storage, labeling and dispensing of a container ","MedAvil, Inc.","Wes van Ooyen, Derek Bessette, Duane Lindner",2010-07-01,2011-06-30,2014-05-27,2014-05-27,https://patents.google.com/patent/US8738177B2/en,https://patentimages.storage.googleapis.com/db/aa/30/836815902d941b/US08738177-20140527-D00000.png
US-10910089-B2,Methods and systems providing centralized encryption key management for sharing data across diverse entities ,"Universal Patient Key, Inc.","Joseph R. Austin, Shahir Kassam-Adams",2015-03-20,2016-02-17,2021-02-02,2021-02-02,https://patents.google.com/patent/US10910089B2/en,https://patentimages.storage.googleapis.com/36/06/f6/ddf386838cab3f/US10910089-20210202-D00000.png
US-9922534-B2,Automatic hygiene compliance assistance ,"Versus Technology, Inc.","Gary T. Gaisser, Henry J. Tenarvitz",2013-07-19,2016-10-17,2018-03-20,2018-03-20,https://patents.google.com/patent/US9922534B2/en,https://patentimages.storage.googleapis.com/a0/ae/16/5e429b0677a631/US09922534-20180320-D00000.png
US-11304657-B2,Cognitive platform coupled with a physiological component ,"Akili Interactive Labs, Inc.","Jeffrey Bower, Titiimaea Alailima, Jason Johnson, Walter Edward Martucci, Isabella Slaby, Matthew Omernick, Adam Piper, Paul Rand Pierce, Ashley Mateus, Scott Kellogg",2016-08-26,2017-08-25,2022-04-19,2022-04-19,https://patents.google.com/patent/US11304657B2/en,https://patentimages.storage.googleapis.com/1d/54/79/aa1eb5bd00e28d/US11304657-20220419-D00000.png
US-9872637-B2,Medical evaluation system and method using sensors in mobile devices ,"The Rehabilitation Institute Of Chicago, Northwestern University","Konrad Kording, Mark Albert, Andrew Levien",2010-04-21,2011-04-21,2018-01-23,2018-01-23,https://patents.google.com/patent/US9872637B2/en,https://patentimages.storage.googleapis.com/aa/b6/f4/c42d91dae58821/US09872637-20180123-D00000.png
US-9782131-B2,Method and system for self-managed sound enhancement ,ACE Communications Limited (HK),"Charles Andrew Van Hasselt, Chi Shan Anna Kam, Pui Tong Paul Lee, Ka Kui Cheng",2010-08-05,2016-10-17,2017-10-10,2017-10-10,https://patents.google.com/patent/US9782131B2/en,https://patentimages.storage.googleapis.com/3b/50/04/41b9c4e58f8939/US09782131-20171010-D00000.png
US-10332377-B2,Person support apparatuses with patient mobility monitoring ,Stryker Corporation,"Richard A. Derenne, Ammon K. Wright, Sean M. Kirkwood, Aaron Douglas Furman",2014-11-19,2018-03-01,2019-06-25,2019-06-25,https://patents.google.com/patent/US10332377B2/en,https://patentimages.storage.googleapis.com/01/c0/cc/b9b7c2bfd01347/US10332377-20190625-D00000.png
US-10220211-B2,Methods and systems to diagnose depression ,"Livanova Usa, Inc.",Wangcai Liao,2013-01-22,2013-01-22,2019-03-05,2019-03-05,https://patents.google.com/patent/US10220211B2/en,https://patentimages.storage.googleapis.com/8a/ca/c4/64a45db49bef69/US10220211-20190305-D00000.png
US-8687351-B2,Scanning jacket for a handheld device ,"Patientsafe Solutions, Inc.","Mark C. Yturralde, Reza A. Ghanbari",2011-03-31,2012-03-29,2014-04-01,2014-04-01,https://patents.google.com/patent/US8687351B2/en,https://patentimages.storage.googleapis.com/b0/32/46/3727fbc47e8682/US08687351-20140401-D00000.png
US-10810283-B2,Systems and methods for monitoring respiratory function ,Knox Medical Diagnostics Inc.,"Charvi Shetty, Vinidhra Mani, Inderjit Jutla",2013-10-31,2014-10-31,2020-10-20,2020-10-20,https://patents.google.com/patent/US10810283B2/en,https://patentimages.storage.googleapis.com/20/e3/5e/4cca1b31c42a92/US10810283-20201020-D00000.png
US-10042986-B2,Infusion pump automation system and method ,"Icu Medical, Inc.","Timothy L. Ruchti, Harsh Dharwad, Lynn D. Neuhardt, Aaron P. Perez",2013-11-19,2014-11-19,2018-08-07,2018-08-07,https://patents.google.com/patent/US10042986B2/en,https://patentimages.storage.googleapis.com/01/32/9f/e5493c27f64832/US10042986-20180807-D00000.png
US-8171094-B2,System and method for communicating over a network with a medical device ,"Event Medical, Inc.","Johnny Yat Ming Chan, Brent Chamblee",2010-01-19,2011-01-11,2012-05-01,2012-05-01,https://patents.google.com/patent/US8171094B2/en,https://patentimages.storage.googleapis.com/7c/82/99/2c1f82006ce924/US08171094-20120501-D00000.png
US-8951192-B2,Systems approach to disease state and health assessment ,"Flint Hills Scientific, Llc",Ivan Osorio,2010-06-15,2010-06-15,2015-02-10,2015-02-10,https://patents.google.com/patent/US8951192B2/en,https://patentimages.storage.googleapis.com/6e/d1/b2/5c4eb6f12850df/US08951192-20150210-D00000.png
US-8679009-B2,Systems approach to comorbidity assessment ,"Flint Hills Scientific, Llc",Ivan Osorio,2010-06-15,2010-06-15,2014-03-25,2014-03-25,https://patents.google.com/patent/US8679009B2/en,https://patentimages.storage.googleapis.com/41/8e/ea/fe17e897b7979b/US08679009-20140325-D00000.png
US-8206340-B2,Integrated glucose monitor and insulin injection pen with automatic emergency notification ,"Thuban, Inc.",Rana J. Arefieg,2010-08-18,2010-08-18,2012-06-26,2012-06-26,https://patents.google.com/patent/US8206340B2/en,https://patentimages.storage.googleapis.com/f5/ca/6e/74afe80c05dad4/US08206340-20120626-D00000.png
US-10806352-B2,Wireless vascular monitoring implants ,"Foundry Innovation & Research 1, Ltd.","Fiachra M. Sweeney, Hanson S. Gifford, III, Jessi Johnson, Pablo Martin, Shriram Raghunathan, Stephen Sheridan, Douglas S. Sutton, Friedrich Wetterling, Conor M. Hanley",2016-11-29,2018-10-31,2020-10-20,2020-10-20,https://patents.google.com/patent/US10806352B2/en,https://patentimages.storage.googleapis.com/43/7b/49/948ac207ca27b7/US10806352-20201020-D00000.png
